"Date","Order ID","Type","Detail","Item ID","Document","Price","EU VAT","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2015-03-31 05:21:14 +1100","8113606","Sale","Elevetis - Premium One Page WordPress Theme","4265355","IVIP1337476","26.40","","26.40","ThemeForest","Spain","Barcelona","Callús","08262"
"2015-03-27 21:32:51 +1100","7927830","Sale","Liveset - Responsive WordPress Theme","2877986","IVIP1273752","30.40","","30.40","ThemeForest","Spain","Barcelona","Esplugues de Llobregat","08950"
"2015-03-27 18:20:45 +1100","7919318","Sale","Elevetis - Premium One Page WordPress Theme","4265355","IVIP1270942","26.40","","26.40","ThemeForest","United States","New Hampshire","Hanover","03755"
"2015-03-11 05:23:51 +1100","6800585","Sale","Elevetis - Premium One Page WordPress Theme","4265355","IVIP885692","26.40","","26.40","ThemeForest","","","",""
